"","id","fullName","link","career_goals","career_points","career_PIM"
"92",8445255,"Billy Burch","/api/v1/people/8445255",136,196,263
"93",8447110,"Aurel Joliat","/api/v1/people/8447110",269,463,771
"94",8445882,"Gerry Denoird","/api/v1/people/8445882",0,0,0
"95",8448948,"Ganton Scott","/api/v1/people/8448948",1,2,0
"96",8445319,"Earl Campbell","/api/v1/people/8445319",6,10,16
"97",8446298,"Frank Finnigan","/api/v1/people/8446298",116,210,410
"98",8446492,"Charles Fraser","/api/v1/people/8446492",0,0,0
"99",8446643,"Red Green","/api/v1/people/8446643",60,87,277
"100",8446644,"Shorty Green","/api/v1/people/8446644",34,56,167
"101",8449141,"Jesse Spring","/api/v1/people/8449141",11,15,78
"102",8445136,"Bobby Boucher","/api/v1/people/8445136",1,1,0
"103",8445312,"Billy Cameron","/api/v1/people/8445312",0,1,4
"104",8447606,"Sylvio Mantha","/api/v1/people/8447606",63,140,675
"105",8447888,"Howie Morenz","/api/v1/people/8447888",271,476,562
"106",8446907,"Albert Holway","/api/v1/people/8446907",7,9,52
"107",8447518,"Wilf Loughlin","/api/v1/people/8447518",0,0,2
"108",8449133,"Chris Speyer","/api/v1/people/8449133",0,0,0
"109",8446616,"Ed Gorman","/api/v1/people/8446616",14,20,110
"110",8449059,"Alex Smith","/api/v1/people/8449059",41,92,645
"111",8449077,"Hooley Smith","/api/v1/people/8449077",200,426,1062
"112",8449856,"Alec Connell","/api/v1/people/8449856",NA,NA,NA
"113",8445644,"Charlie Cotch","/api/v1/people/8445644",1,1,0
"114",8447323,"Charlie Langlois","/api/v1/people/8447323",22,27,207
"115",8447794,"Alex McKinnon","/api/v1/people/8447794",19,31,237
"116",8445061,"Bobby Benson","/api/v1/people/8445061",0,2,4
"117",8445340,"George Carroll","/api/v1/people/8445340",0,0,9
"118",8445536,"Lloyd Cook","/api/v1/people/8445536",1,1,0
"119",8445541,"Carson Cooper","/api/v1/people/8445541",110,172,126
"120",8445743,"John Ingram","/api/v1/people/8445743",0,0,0
"121",8446716,"Smokey Harris","/api/v1/people/8446716",3,4,8
"122",8446755,"Fern Headley","/api/v1/people/8446755",1,5,6
"123",8446785,"Jimmy Herberts","/api/v1/people/8446785",83,117,259
"124",8447876,"Herb Mitchell","/api/v1/people/8447876",6,8,60
"125",8447890,"Bernie Morris","/api/v1/people/8447890",1,2,0
"126",8448297,"George Redding","/api/v1/people/8448297",3,5,10
"127",8448584,"Bobby Rowe","/api/v1/people/8448584",1,1,0
"128",8448934,"Werner Schnarr","/api/v1/people/8448934",0,0,0
"129",8449002,"Norm Shay","/api/v1/people/8449002",5,9,34
"130",8449129,"Emory Sparrow","/api/v1/people/8449129",0,0,4
"131",8448297,"George Redding","/api/v1/people/8448297",3,5,10
"132",8449920,"Hec Fowler","/api/v1/people/8449920",NA,NA,NA
"133",8450120,"Charles Stewart","/api/v1/people/8450120",NA,NA,NA
"134",8447111,"Rene Joliat","/api/v1/people/8447111",0,0,0
"135",8447272,"Roland Lafleur","/api/v1/people/8447272",0,0,0
"136",8447641,"Johnny Matz","/api/v1/people/8447641",2,6,0
"137",8445854,"Hap Day","/api/v1/people/8445854",86,207,597
"138",8446300,"Alvin Fisher","/api/v1/people/8446300",1,1,9
"139",8447655,"Bert McCaffrey","/api/v1/people/8447655",43,78,204
"140",8447999,"Mike Neville","/api/v1/people/8447999",5,11,14
"141",8448310,"Reg Reid","/api/v1/people/8448310",1,1,4
"142",8445308,"Francis Cain","/api/v1/people/8445308",4,5,37
"143",8445911,"Chuck Dinsmore","/api/v1/people/8445911",6,8,50
"144",8447521,"Fred Lowrey","/api/v1/people/8447521",1,2,10
"145",8447908,"Dunc Munro","/api/v1/people/8447908",28,46,179
"146",8447912,"Gerry Munro","/api/v1/people/8447912",1,3,32
"147",8448087,"Ernie Parkes","/api/v1/people/8448087",0,0,2
"148",8448462,"Sam Rothschild","/api/v1/people/8448462",8,15,25
"149",8447908,"Dunc Munro","/api/v1/people/8447908",28,46,179
